-1585.13	150.86
-1585.25	150.68
-1585.37	150.51
-1585.49	150.33
-1585.61	150.16
-1585.73	149.98
-1585.85	149.8
-1585.97	149.63
-1586.09	149.45
-1586.21	149.28
-1586.32	149.1
-1586.44	148.93
-1586.56	148.75
-1586.68	148.58
-1586.79	148.4
-1586.91	148.22
-1587.02	148.05
-1587.14	147.87
-1587.25	147.7
-1587.37	147.52
-1587.48	147.35
-1587.6	147.17
-1587.71	147
-1587.82	146.82
-1587.93	146.65
-1588.05	146.47
-1588.16	146.29
-1588.27	146.12
-1588.38	145.94
-1588.49	145.77
-1588.6	145.59
-1588.71	145.42
-1588.82	145.24
-1588.93	145.07
-1589.04	144.89
-1589.15	144.71
-1589.26	144.54
-1589.36	144.36
-1589.47	144.19
-1589.58	144.01
-1589.69	143.84
-1589.79	143.66
-1589.9	143.49
-1590	143.31
-1590.11	143.13
-1590.21	142.96
-1590.32	142.78
-1590.42	142.61
-1590.53	142.43
-1590.63	142.26
-1590.73	142.08
-1590.84	141.91
-1590.94	141.73
-1591.04	141.56
-1591.14	141.38
-1591.25	141.2
-1591.35	141.03
-1591.45	140.85
-1591.55	140.68
-1591.65	140.5
-1591.75	140.33
-1591.85	140.15
-1591.95	139.98
-1592.05	139.8
-1592.15	139.62
-1592.24	139.45
-1592.34	139.27
-1592.44	139.1
-1592.54	138.92
-1592.63	138.75
-1592.73	138.57
-1592.83	138.4
-1592.92	138.22
-1593.02	138.05
-1593.11	137.87
-1593.21	137.69
-1593.3	137.52
-1593.4	137.34
-1593.49	137.17
-1593.59	136.99
-1593.68	136.82
-1593.77	136.64
-1593.87	136.47
-1593.96	136.29
-1594.05	136.11
-1594.14	135.94
-1594.24	135.76
-1594.33	135.59
-1594.42	135.41
-1594.51	135.24
-1594.6	135.06
-1594.69	134.89
-1594.78	134.71
-1594.87	134.54
-1594.96	134.36
-1595.05	134.18
-1595.14	134.01
-1595.23	133.83
-1595.31	133.66
-1595.4	133.48
-1595.49	133.31
-1595.58	133.13
-1595.67	132.96
-1595.75	132.78
-1595.84	132.6
-1595.93	132.43
-1596.01	132.25
-1596.1	132.08
-1596.18	131.9
-1596.27	131.73
-1596.35	131.55
-1596.44	131.38
-1596.52	131.2
-1596.61	131.03
-1596.69	130.85
-1596.77	130.67
-1596.86	130.5
-1596.94	130.32
-1597.02	130.15
-1597.1	129.97
-1597.19	129.8
-1597.27	129.62
-1597.35	129.45
-1597.43	129.27
-1597.51	129.09
-1597.59	128.92
-1597.67	128.74
-1597.75	128.57
-1597.83	128.39
-1597.91	128.22
-1597.99	128.04
-1598.07	127.87
-1598.15	127.69
-1598.23	127.52
-1598.31	127.34
-1598.39	127.16
-1598.47	126.99
-1598.54	126.81
-1598.62	126.64
-1598.7	126.46
-1598.78	126.29
-1598.85	126.11
-1598.93	125.94
-1599	125.76
-1599.08	125.58
-1599.16	125.41
-1599.23	125.23
-1599.31	125.06
-1599.38	124.88
-1599.46	124.71
-1599.53	124.53
-1599.61	124.36
-1599.68	124.18
-1599.75	124.01
-1599.83	123.83
-1599.9	123.65
-1599.97	123.48
-1600.05	123.3
-1600.12	123.13
-1600.19	122.95
-1600.26	122.78
-1600.34	122.6
-1600.41	122.43
-1600.48	122.25
-1600.55	122.07
-1600.62	121.9
-1600.69	121.72
-1600.76	121.55
-1600.83	121.37
-1600.9	121.2
-1600.97	121.02
-1601.04	120.85
-1601.11	120.67
-1601.18	120.5
-1601.25	120.32
-1601.32	120.14
-1601.39	119.97
-1601.45	119.79
-1601.52	119.62
-1601.59	119.44
-1601.66	119.27
-1601.72	119.09
-1601.79	118.92
-1601.86	118.74
-1601.92	118.56
-1601.99	118.39
-1602.06	118.21
-1602.12	118.04
-1602.19	117.86
-1602.25	117.69
-1602.32	117.51
-1602.38	117.34
-1602.45	117.16
-1602.51	116.99
-1602.58	116.81
-1602.64	116.63
-1602.71	116.46
-1602.77	116.28
-1602.83	116.11
-1602.9	115.93
-1602.96	115.76
-1603.02	115.58
-1603.09	115.41
-1603.15	115.23
-1603.21	115.05
-1603.27	114.88
-1603.33	114.7
-1603.4	114.53
-1603.46	114.35
-1603.52	114.18
-1603.58	114
-1603.64	113.83
-1603.7	113.65
-1603.76	113.47
-1603.82	113.3
-1603.88	113.12
-1603.94	112.95
-1604	112.77
-1604.06	112.6
-1604.12	112.42
-1604.18	112.25
-1604.24	112.07
-1604.3	111.9
-1604.35	111.72
-1604.41	111.54
-1604.47	111.37
-1604.53	111.19
-1604.59	111.02
-1604.64	110.84
-1604.7	110.67
-1604.76	110.49
-1604.81	110.32
-1604.87	110.14
-1604.93	109.96
-1604.98	109.79
-1605.04	109.61
-1605.1	109.44
-1605.15	109.26
-1605.21	109.09
-1605.26	108.91
-1605.32	108.74
-1605.37	108.56
-1605.43	108.39
-1605.48	108.21
-1605.53	108.03
-1605.59	107.86
-1605.64	107.68
-1605.7	107.51
-1605.75	107.33
-1605.8	107.16
-1605.86	106.98
-1605.91	106.81
-1605.96	106.63
-1606.01	106.45
-1606.07	106.28
-1606.12	106.1
-1606.17	105.93
-1606.22	105.75
-1606.27	105.58
-1606.33	105.4
-1606.38	105.23
-1606.43	105.05
-1606.48	104.88
-1606.53	104.7
-1606.58	104.52
-1606.63	104.35
-1606.68	104.17
-1606.73	104
-1606.78	103.82
-1606.83	103.65
-1606.88	103.47
-1606.93	103.3
-1606.98	103.12
-1607.03	102.94
-1607.08	102.77
-1607.13	102.59
-1607.17	102.42
-1607.22	102.24
-1607.27	102.07
-1607.32	101.89
-1607.37	101.72
-1607.41	101.54
-1607.46	101.37
-1607.51	101.19
-1607.56	101.01
-1607.6	100.84
-1607.65	100.66
-1607.7	100.49
-1607.74	100.31
-1607.79	100.14
-1607.83	99.96
-1607.88	99.79
-1607.93	99.61
-1607.97	99.43
-1608.02	99.26
-1608.06	99.08
-1608.11	98.91
-1608.15	98.73
-1608.2	98.56
-1608.24	98.38
-1608.28	98.21
-1608.33	98.03
-1608.37	97.86
-1608.42	97.68
-1608.46	97.5
-1608.5	97.33
-1608.55	97.15
-1608.59	96.98
-1608.63	96.8
-1608.68	96.63
-1608.72	96.45
-1608.76	96.28
-1608.8	96.1
-1608.85	95.92
-1608.89	95.75
-1608.93	95.57
-1608.97	95.4
-1609.01	95.22
-1609.06	95.05
-1609.1	94.87
-1609.14	94.7
-1609.18	94.52
-1609.22	94.35
-1609.26	94.17
-1609.3	93.99
-1609.34	93.82
-1609.38	93.64
-1609.42	93.47
-1609.46	93.29
-1609.5	93.12
-1609.54	92.94
-1609.58	92.77
-1609.62	92.59
-1609.66	92.41
-1609.7	92.24
-1609.74	92.06
-1609.77	91.89
-1609.81	91.71
-1609.85	91.54
-1609.89	91.36
-1609.93	91.19
-1609.97	91.01
-1610	90.84
-1610.04	90.66
-1610.08	90.48
-1610.12	90.31
-1610.15	90.13
-1610.19	89.96
-1610.23	89.78
